zip_code,reading_date,usage_kwh
75644,2022-08-01,15010.6
76319,2024-09-01,13084.91
76213,2024-02-01,10064.64
75472,2021-05-01,13084.19
75854,2021-03-01,16614.11
75414,2022-08-01,11892.52
75097,2021-12-01,16693.93
76122,2024-12-01,4140.76
75392,2023-09-01,14465.71
75324,2022-02-01,12261.14
76010,2021-12-01,11102.98
76272,2021-10-01,12275.28
75131,2023-04-01,6037.29
75637,2024-01-01,11340.98
75905,2024-04-01,13071.34
76187,2022-04-01,16433.68
76002,2021-10-01,10445.19
76076,2023-03-01,9574.52
75784,2023-12-01,10494.73
75841,2022-11-01,14746.21
76130,2022-09-01,12986.25
75591,2023-01-01,10410.72
76216,2022-10-01,13539.8
75254,2022-01-01,12291.23
75879,2021-11-01,14905.93
76107,2021-03-01,9893.84
76282,2023-02-01,11017.01
76167,2023-11-01,10823.68
75428,2024-05-01,7609.46
75422,2024-01-01,12888.36
76409,2024-12-01,12783.17
75232,2023-06-01,12015.34
75292,2021-04-01,11296.24
75944,2022-10-01,7753.89
75441,2024-12-01,10738.06
75793,2022-09-01,10971.86
76193,2022-07-01,9593.17
75939,2024-07-01,11516.14
76255,2021-05-01,13212.15
76043,2022-02-01,17658.56
76462,2022-06-01,12523.73
76247,2024-04-01,12772.65
75211,2023-06-01,11776.66
75900,2024-12-01,6243.69
75601,2024-02-01,11920.46
75986,2024-10-01,12180.69
75057,2021-07-01,19389.73
75004,2022-10-01,11422.92
76114,2021-03-01,12904.64
75534,2024-03-01,11895.86
76349,2021-08-01,8493.97
75714,2022-07-01,15428.47
75841,2023-07-01,14255.8
76421,2022-12-01,14373.1
76001,2023-01-01,9271.84
75655,2023-04-01,16208.38
76102,2023-01-01,7794.45
76308,2021-06-01,13760.57
75413,2021-01-01,18571.37
76202,2021-09-01,9028.39
75086,2024-03-01,10301.11
76078,2023-01-01,12298.95
75574,2022-01-01,10489.57
75000,2021-06-01,7348.01
75316,2024-07-01,12205.69
75472,2021-03-01,8813.09
75071,2024-01-01,13420.78
75906,2021-08-01,9241.73
75411,2021-02-01,16649.8
75647,2023-01-01,9650.24
76155,2022-01-01,11033.82
75470,2021-11-01,14440.55
75918,2021-09-01,8307.41
75788,2023-10-01,12682.38
76411,2022-12-01,15921.43
75319,2021-07-01,7177.55
75980,2021-01-01,12553.9
75966,2024-01-01,12779.65
75482,2021-01-01,14345.47
76465,2024-03-01,8289.15
75828,2021-06-01,8038.63
76177,2021-06-01,13565.82
75915,2021-04-01,12890.95
75043,2023-12-01,12751.48
75146,2022-07-01,13039.34
75643,2023-02-01,9959.93
75648,2024-05-01,12696.76
75669,2022-03-01,12879.22
75240,2021-04-01,9856.95
76284,2024-01-01,17597.32
76033,2024-09-01,13421.5
76456,2024-09-01,8426.09
75726,2022-09-01,13969.66
75949,2021-06-01,9075.95
75153,2022-10-01,14361.25
75760,2022-11-01,15475.79
75017,2024-04-01,9537.95
75935,2024-10-01,14890.13
75386,2024-07-01,13238.34
75782,2022-11-01,14466.18
75791,2023-10-01,17690.38
75823,2024-12-01,11263.84
75456,2023-04-01,9738.79
75454,2021-01-01,9331.46
76202,2024-06-01,9552.57
75886,2024-08-01,11768.69
76298,2024-12-01,13023.46
76383,2021-11-01,12830.07
76282,2023-10-01,14481.55
76262,2022-07-01,12039.01
75614,2022-11-01,16360.6
75037,2023-11-01,11206.03
75470,2024-08-01,20160.51
75625,2024-01-01,13877.0
75550,2022-10-01,9428.53
76278,2024-04-01,8787.32
75694,2023-06-01,13447.42
75515,2021-03-01,11329.61
76102,2024-12-01,14142.0
75372,2023-06-01,13419.71
75610,2021-02-01,11781.51
76000,2023-09-01,9459.62
75200,2024-03-01,7455.46
75915,2021-07-01,10660.46
75855,2024-01-01,14569.2
75919,2024-10-01,12642.28
75879,2021-10-01,8262.78
76331,2022-02-01,12519.54
75392,2021-10-01,13155.95
75331,2022-11-01,9348.43
75804,2021-02-01,12461.18
76141,2022-07-01,12174.63
75440,2023-01-01,8571.09
75870,2021-04-01,13073.36
75288,2024-08-01,13682.35
76024,2023-10-01,15249.15
76244,2021-11-01,15161.41
75147,2021-06-01,7866.99
75902,2023-09-01,9186.52
75182,2024-10-01,13545.11
75269,2023-09-01,13541.36
75878,2021-01-01,13545.14
75836,2022-09-01,23558.19
75645,2023-11-01,13712.67
75334,2024-11-01,15406.7
75139,2022-01-01,14862.01
75231,2022-02-01,13954.17
75381,2024-04-01,11054.19
75600,2023-01-01,14276.91
75149,2022-03-01,9681.52
75279,2022-05-01,11289.54
76405,2021-04-01,10543.91
75876,2021-02-01,12245.62
75913,2024-06-01,18943.98
75947,2023-07-01,6398.2
75328,2022-10-01,14058.78
75060,2022-01-01,7161.85
75011,2024-09-01,10584.2
76320,2022-09-01,15266.85
75293,2024-05-01,12192.84
75346,2024-08-01,8766.77
76176,2024-09-01,9854.09
76241,2024-10-01,14038.79
75303,2022-09-01,9808.9
76235,2024-11-01,12649.38
75339,2024-06-01,12136.72
75807,2022-01-01,10045.2
75485,2022-05-01,18431.83
76357,2024-03-01,13901.76
75042,2021-06-01,5924.57
75773,2022-09-01,12559.36
76189,2021-01-01,10014.64
76229,2022-09-01,14557.3
75879,2022-06-01,9622.44
75369,2023-01-01,11655.79
75115,2022-05-01,13514.96
75188,2022-08-01,14597.27
75972,2021-05-01,8399.11
76178,2024-07-01,10996.5
75284,2022-03-01,10575.16
75863,2021-11-01,10040.01
75101,2021-12-01,17296.36
75211,2023-03-01,13214.95
75773,2024-08-01,8217.35
75607,2021-06-01,14753.59
75171,2021-03-01,18366.47
75860,2024-03-01,15097.4
75310,2022-06-01,7441.89
75239,2023-02-01,10547.3
75257,2021-08-01,15800.73
75516,2024-06-01,9876.99
76234,2023-12-01,13331.46
75451,2024-09-01,14323.9
75284,2024-02-01,9219.21
75822,2023-12-01,11821.42
75717,2022-03-01,2276.2
75910,2021-04-01,8926.84
75118,2021-02-01,11242.3
76152,2023-01-01,8256.65
75957,2024-07-01,16897.23
75205,2024-02-01,7709.58
75819,2023-02-01,10679.87
75640,2022-07-01,12392.22
76260,2023-10-01,16323.82
75018,2024-12-01,7692.41
75824,2021-09-01,15489.49
75296,2022-05-01,12030.7
75001,2021-05-01,9055.47
75242,2023-02-01,13386.31
76283,2023-07-01,12597.18
75086,2022-11-01,10199.35
75590,2023-12-01,12209.41
76345,2022-05-01,10844.06
76055,2021-10-01,12340.55
75721,2021-05-01,13986.39
76435,2021-10-01,16758.05
75594,2024-04-01,8286.55
76247,2022-11-01,18399.1
75128,2024-02-01,6143.74
75924,2024-05-01,11544.64
75477,2022-02-01,13764.95
76051,2024-02-01,12842.98
76482,2023-12-01,10131.9
75714,2024-07-01,11375.63
75706,2023-02-01,10521.0
75643,2024-03-01,10231.91
75852,2023-01-01,14548.81
75291,2022-12-01,13071.05
76115,2023-01-01,9921.27
75974,2024-06-01,14698.8
75908,2021-01-01,12921.9
75871,2022-03-01,14438.59
75979,2022-03-01,13888.89
75138,2021-09-01,9513.01
76200,2022-11-01,10319.46
75452,2022-11-01,14241.88
75154,2021-04-01,13831.11
75728,2022-11-01,11937.3
75200,2022-02-01,12351.98
76364,2024-07-01,15832.99
75736,2024-07-01,10225.29
76087,2023-07-01,13641.29
75656,2023-11-01,11393.42
75325,2023-09-01,11346.96
76163,2024-09-01,15296.33
76128,2022-09-01,14476.25
75796,2022-09-01,14440.53
75243,2023-07-01,15916.44
75521,2021-05-01,12063.01
75470,2022-11-01,14045.86
76287,2024-09-01,11069.2
76438,2024-09-01,12972.5
75134,2022-06-01,11609.57
75135,2021-12-01,12290.99
76130,2021-01-01,13785.47
76089,2021-07-01,9545.34
76204,2023-11-01,18277.16
75643,2023-04-01,8981.95
75600,2022-06-01,8357.43
75025,2024-06-01,15474.33
76137,2022-04-01,14374.99
76367,2023-01-01,13872.36
75487,2024-01-01,13885.04
75647,2021-12-01,11963.26
75062,2021-10-01,9308.24
76069,2021-10-01,12227.41
75783,2022-06-01,9968.51
75867,2023-05-01,14925.36
76115,2022-11-01,11558.83
75841,2021-07-01,9523.51
75775,2022-10-01,11035.84
75203,2023-05-01,13238.79
76029,2024-09-01,10308.83
75330,2021-11-01,9533.34
75443,2024-09-01,12731.06
75112,2022-03-01,12734.9
75247,2022-02-01,10479.17
75187,2022-03-01,10586.89
76269,2021-11-01,12696.15
76124,2023-06-01,7655.75
75076,2022-03-01,7777.61
76177,2024-03-01,9844.67
75462,2022-09-01,11359.66
75520,2023-12-01,12932.72
75364,2022-10-01,16426.07
75736,2022-08-01,14572.98
75200,2024-10-01,11520.18
75900,2024-08-01,11942.95
75637,2021-02-01,8992.41
76107,2021-12-01,11944.46
75611,2024-03-01,11134.02
75353,2023-06-01,12968.16
76478,2022-09-01,9518.31
76378,2024-03-01,13558.04
75623,2022-07-01,16598.22
75827,2023-12-01,11673.72
75000,2023-10-01,13205.14
76211,2022-12-01,14070.43
75189,2021-12-01,10796.34
75449,2023-10-01,12672.28
75038,2024-11-01,12037.78
76041,2024-09-01,12293.03
75867,2023-01-01,9680.97
75550,2024-02-01,12073.53
75339,2021-02-01,13493.99
75940,2023-06-01,16353.43
76437,2023-05-01,14877.81
76066,2024-04-01,18459.55
76489,2021-03-01,9697.96
76028,2022-08-01,14616.96
75888,2022-10-01,12550.03
75527,2021-07-01,18569.41
75629,2023-11-01,9575.11
75332,2022-05-01,9480.83
75744,2022-10-01,10201.82
75681,2024-02-01,5628.31
75618,2023-01-01,10422.73
75395,2024-10-01,9722.6
75797,2024-02-01,12451.18
75494,2023-09-01,13025.27
75842,2022-12-01,17628.51
75052,2022-03-01,14851.27
75904,2021-05-01,10269.29
75767,2024-01-01,9304.76
75511,2021-08-01,13475.76
75369,2022-12-01,8039.3
75752,2024-06-01,17494.38
75848,2023-03-01,15538.32
75959,2024-02-01,10592.47
76075,2021-08-01,6860.6
76148,2022-11-01,16061.62
76103,2024-09-01,11656.38
76299,2023-09-01,15713.45
75129,2021-12-01,7216.72
76459,2022-04-01,10201.87
75756,2022-01-01,12015.73
75164,2024-12-01,12140.94
75354,2023-05-01,10649.8
75480,2022-07-01,13868.55
75063,2024-10-01,8797.14
75554,2021-01-01,11572.86
75227,2023-12-01,12360.89
75405,2021-01-01,13543.32
75335,2021-09-01,14134.84
76082,2021-11-01,8626.07
76347,2023-05-01,7397.66
76235,2021-02-01,15833.03
75109,2023-07-01,12996.94
75153,2022-03-01,9754.54
76104,2024-12-01,16653.46
75273,2023-08-01,12347.02
75600,2023-08-01,15537.89
75948,2024-08-01,12202.56
75446,2021-06-01,18182.24
76047,2021-12-01,17266.02
75865,2023-05-01,11253.11
75173,2023-04-01,14914.71
75903,2021-06-01,13936.13
75680,2021-08-01,16105.89
75353,2021-03-01,9105.23
75398,2024-04-01,14058.15
75419,2023-11-01,15175.27
75382,2021-06-01,6723.78
75448,2024-04-01,8450.22
75140,2022-02-01,5882.3
75608,2024-12-01,11191.78
75882,2022-07-01,14152.63
76159,2024-12-01,16507.07
75171,2022-08-01,12222.28
75611,2024-03-01,16885.85
75858,2023-08-01,7859.7
75239,2022-09-01,6889.85
76105,2021-08-01,11833.36
75989,2024-05-01,13152.2
75827,2021-05-01,11901.92
75812,2023-10-01,5797.67
75640,2024-09-01,11732.64
75470,2024-12-01,8086.59
75594,2023-01-01,14009.02
75704,2023-11-01,13099.79
75884,2021-10-01,9180.36
76231,2022-01-01,10458.4
75892,2021-05-01,8822.36
76461,2022-12-01,11811.96
75209,2021-02-01,14865.43
75971,2021-04-01,9042.82
76455,2023-11-01,13512.14
75355,2023-09-01,10409.23
75726,2023-07-01,9621.38
76359,2023-12-01,11678.91
75973,2022-02-01,8894.27
75985,2023-06-01,10339.05
75156,2021-07-01,8406.37
75702,2024-06-01,17894.18
75078,2023-03-01,12105.79
75679,2024-12-01,9900.82
75552,2022-02-01,12641.94
75086,2023-05-01,11663.02
76459,2024-01-01,11337.09
75137,2022-08-01,13842.5
75177,2023-06-01,14272.52
76369,2023-01-01,10408.5
76350,2024-06-01,10272.55
75395,2021-03-01,11174.84
75079,2024-12-01,5094.24
76106,2023-12-01,7454.43
76493,2023-10-01,16100.62
76187,2023-07-01,16934.9
75380,2021-07-01,11252.89
76021,2024-03-01,13729.67
75172,2024-03-01,12933.75
76199,2021-06-01,21236.64
76086,2023-07-01,15358.72
75357,2023-06-01,11616.25
75304,2023-06-01,9133.38
75587,2021-11-01,7180.66
75795,2024-05-01,12610.39
75074,2021-12-01,9730.95
75082,2023-03-01,7733.24
75619,2022-05-01,10060.28
76216,2024-12-01,8755.36
76146,2023-03-01,17061.42
76359,2021-04-01,14644.92
75119,2021-03-01,11976.08
75646,2021-07-01,16439.83
75546,2024-09-01,12232.1
76184,2022-07-01,9416.15
76360,2023-05-01,16569.37
76200,2023-10-01,13616.73
76309,2023-05-01,8888.26
75347,2022-07-01,11428.98
76210,2022-09-01,9373.15
76298,2021-07-01,7851.6
75033,2024-12-01,14778.53
75100,2023-03-01,17728.25
75978,2024-02-01,7804.3
76024,2023-02-01,13688.91
76207,2023-10-01,10048.07
76429,2024-04-01,10538.62
76478,2021-07-01,10222.82
75309,2024-03-01,9408.03
76127,2022-07-01,12145.56
75408,2021-04-01,9507.15
75840,2024-05-01,12811.37
75519,2023-10-01,11849.29
76261,2022-10-01,11283.16
75855,2021-03-01,9277.31
75815,2024-06-01,10269.69
75433,2023-07-01,14266.17
75464,2024-04-01,13502.75
76053,2021-02-01,9067.33
75537,2024-01-01,12298.0
76010,2023-06-01,14254.16
76457,2022-02-01,6991.78
75303,2023-12-01,13630.08
75262,2023-08-01,10012.13
76322,2023-10-01,13711.8
75308,2024-01-01,9710.22
76271,2024-11-01,6585.35
75516,2023-08-01,7117.37
75198,2023-10-01,12144.25
75970,2023-12-01,12779.17
75441,2023-10-01,9287.05
76437,2022-05-01,13915.78
76445,2022-11-01,7015.44
75953,2022-07-01,11801.76
75984,2024-04-01,8366.95
75533,2021-07-01,10044.49
76096,2021-03-01,12142.2
75783,2021-12-01,9418.76
76482,2024-06-01,10846.33
75922,2022-01-01,15018.88
75713,2024-08-01,10269.32
76304,2023-05-01,14507.08
75178,2022-08-01,8610.88
75360,2022-01-01,13589.41
76390,2023-02-01,16324.71
76339,2023-05-01,4585.07
75501,2024-02-01,9609.31
75029,2023-01-01,13731.22
75529,2021-11-01,11390.86
76079,2021-09-01,13113.44
75840,2023-05-01,10188.04
75698,2021-09-01,12259.77
75833,2021-10-01,11532.97
75709,2024-11-01,15503.35
76234,2023-08-01,12763.26
75349,2022-06-01,13012.81
76216,2024-04-01,10764.37
75401,2022-12-01,10537.18
75829,2022-01-01,10702.33
76084,2021-12-01,13183.36
76020,2022-06-01,10737.05
75075,2024-02-01,12869.32
76398,2022-12-01,18226.2
75209,2024-06-01,14613.37
75738,2024-06-01,11021.93
75381,2023-11-01,15603.64
76076,2023-07-01,10775.77
76476,2024-01-01,5885.63
75614,2022-11-01,8975.74
75119,2022-12-01,6387.62
76485,2023-01-01,10945.46
75063,2023-04-01,12055.26
76066,2022-07-01,17029.31
75722,2022-06-01,12980.78
75269,2022-12-01,11342.7
75508,2023-09-01,14488.22
75435,2021-08-01,5366.59
76377,2023-10-01,12706.84
76191,2023-03-01,14312.6
76173,2021-08-01,7564.24
75806,2021-06-01,15431.26
75603,2021-06-01,13015.49
75851,2023-08-01,10754.14
76346,2024-11-01,13898.35
76432,2023-02-01,18812.08
75096,2022-10-01,12545.6
75953,2023-07-01,12744.66
75902,2024-11-01,10621.92
76078,2021-01-01,9450.47
75834,2024-09-01,14491.01
76278,2021-08-01,9431.75
75901,2023-08-01,12214.7
76176,2021-08-01,10567.03
76278,2024-10-01,13436.94
75279,2022-12-01,13000.99
76212,2024-12-01,15112.62
75967,2022-07-01,10469.95
76359,2022-08-01,11190.38
75932,2023-06-01,9063.71
76204,2023-04-01,10667.12
76321,2024-10-01,13131.9
75523,2022-01-01,14270.97
75004,2024-06-01,9233.5
75742,2022-03-01,14608.82
75624,2021-06-01,16066.91
76439,2022-01-01,13240.3
75760,2022-12-01,17630.39
76451,2023-01-01,9678.63
75456,2022-09-01,8266.04
75517,2023-01-01,6663.84
75114,2024-08-01,16488.13
76401,2022-09-01,13963.1
76130,2021-08-01,11833.25
76190,2024-08-01,12839.91
75674,2021-01-01,8623.53
75861,2021-11-01,19337.26
75363,2022-08-01,12387.66
75878,2023-08-01,12328.18
75666,2024-02-01,14177.3
75972,2021-08-01,13443.03
75294,2023-05-01,12671.65
75572,2023-09-01,9628.58
75303,2022-03-01,13414.41
75715,2023-09-01,17646.07
75866,2023-04-01,16036.26
75282,2024-07-01,16779.56
75770,2022-06-01,10466.35
76393,2023-11-01,9031.19
75147,2022-05-01,11622.64
75343,2021-07-01,12167.17
75249,2023-08-01,15282.57
75537,2022-11-01,6922.61
76047,2021-09-01,16588.65
76171,2021-09-01,11525.98
75395,2021-04-01,10719.36
75728,2024-11-01,8963.69
75214,2023-06-01,7035.43
76142,2023-11-01,14469.51
75146,2024-11-01,12219.95
75571,2023-09-01,8130.12
75954,2021-05-01,8114.76
76392,2023-02-01,10992.65
75487,2024-03-01,17007.06
76080,2021-03-01,11221.23
75986,2023-06-01,7490.57
76047,2024-09-01,11262.77
75706,2021-08-01,11181.83
75453,2022-12-01,3909.34
75139,2024-02-01,11837.12
76173,2022-04-01,11307.2
75804,2024-09-01,14088.62
75120,2023-02-01,17546.87
75091,2023-07-01,15379.7
76149,2021-04-01,11193.33
75670,2024-01-01,8680.42
76378,2021-05-01,19720.08
76415,2024-04-01,12177.66
75363,2022-03-01,12041.79
75528,2022-02-01,11927.62
75335,2021-10-01,12594.25
75392,2022-01-01,11566.92
76370,2023-09-01,10279.01
75144,2022-01-01,10359.42
76255,2024-03-01,11901.74
75493,2021-12-01,10369.73
75926,2024-09-01,9861.46
76156,2023-08-01,12319.29
75620,2024-02-01,11235.07
75786,2021-09-01,16511.98
75449,2021-10-01,4047.09
76335,2022-04-01,15274.52
75957,2024-01-01,15738.26
75536,2024-04-01,5779.83
75722,2023-07-01,10971.94
75757,2023-02-01,10885.68
75184,2024-11-01,7777.46
75540,2021-04-01,9666.55
76113,2022-04-01,8668.27
76102,2022-04-01,17256.81
75277,2023-11-01,14807.04
76477,2021-11-01,15814.67
75676,2024-04-01,14165.02
76253,2021-09-01,8612.84
75716,2024-11-01,10426.44
75662,2024-09-01,13468.12
75204,2022-06-01,8333.62
75572,2024-09-01,14139.0
75932,2024-12-01,11279.02
75254,2023-02-01,10875.54
75392,2023-06-01,14132.88
75092,2022-08-01,13332.79
76173,2021-12-01,10917.1
75629,2022-12-01,15477.99
75386,2021-11-01,8756.81
75083,2023-05-01,13847.81
76449,2024-11-01,13779.3
75581,2024-12-01,11071.36
75769,2021-07-01,12978.4
76254,2023-07-01,8246.66
75407,2023-08-01,14772.08
76283,2023-06-01,11445.29
75488,2022-03-01,10431.83
76109,2022-03-01,15147.03
75207,2024-12-01,9886.97
75869,2022-02-01,7774.62
75550,2021-02-01,7330.11
76290,2024-05-01,13818.03
75519,2023-02-01,8158.71
75399,2024-06-01,17264.38
75332,2023-01-01,5754.21
75244,2023-09-01,17089.37
75739,2021-06-01,12633.05
75668,2024-09-01,11709.86
76009,2022-01-01,10365.24
75701,2022-03-01,13197.41
75935,2021-10-01,11887.1
75793,2023-05-01,15309.91
75189,2023-06-01,12342.68
76065,2024-11-01,12450.91
76121,2024-11-01,10909.16
75263,2024-02-01,11829.16
75112,2023-06-01,12923.41
76127,2021-07-01,6869.49
76256,2021-08-01,7955.44
75447,2023-04-01,14229.79
75132,2023-05-01,12512.6
75336,2024-08-01,11448.05
75758,2021-07-01,12055.3
76237,2021-06-01,13042.75
75628,2021-08-01,10380.72
75316,2021-05-01,9665.09
75346,2023-12-01,12587.54
76179,2022-01-01,9064.88
75305,2021-08-01,13224.76
75953,2022-09-01,6892.25
75341,2024-12-01,15087.47
75773,2024-03-01,13417.79
75911,2021-06-01,12768.09
75859,2022-10-01,14948.07
75760,2021-07-01,16996.42
76449,2024-08-01,15043.11
76430,2021-11-01,6477.38
75959,2021-05-01,8161.27
76112,2023-10-01,10125.54
75217,2024-04-01,12078.27
75675,2022-03-01,13552.98
75869,2024-03-01,9822.77
76489,2023-03-01,12560.3
75692,2021-07-01,9733.85
76352,2021-11-01,10165.45
75264,2024-03-01,7780.02
75297,2022-09-01,9230.3
75757,2024-11-01,7944.95
75464,2024-05-01,9072.38
76495,2023-03-01,15160.93
76095,2021-06-01,9151.8
76128,2021-11-01,19897.15
75624,2024-10-01,13479.95
75947,2022-01-01,12554.51
75749,2024-07-01,9424.93
75835,2023-10-01,14100.93
76008,2023-12-01,10273.09
75857,2021-06-01,12366.03
75483,2022-05-01,19680.25
75294,2022-10-01,11711.82
75784,2023-10-01,15447.82
75624,2023-02-01,9890.47
75992,2021-08-01,11895.03
75835,2022-02-01,17312.4
76077,2024-09-01,10119.1
75191,2021-01-01,17437.35
75631,2023-09-01,14123.26
76095,2022-02-01,10312.6
75417,2023-06-01,13897.22
75261,2023-07-01,14917.66
75740,2021-05-01,13865.43
75484,2024-07-01,7289.33
75676,2023-05-01,9818.59
76415,2024-01-01,11257.44
75327,2022-04-01,11776.7
75974,2021-08-01,13862.02
75310,2022-04-01,12533.1
76419,2023-06-01,7993.97
76179,2022-09-01,13140.59
75309,2021-05-01,13831.76
75431,2023-12-01,13679.37
76138,2021-11-01,15242.34
75917,2022-07-01,14501.77
75992,2022-01-01,13377.54
75831,2023-08-01,11789.5
75306,2022-11-01,7017.12
75684,2024-10-01,13288.85
75448,2024-10-01,12623.06
76071,2022-01-01,12814.74
76491,2021-05-01,8169.75
75002,2024-03-01,8756.83
76468,2023-08-01,15159.46
76367,2023-01-01,11881.33
75629,2022-10-01,14044.5
75688,2023-02-01,12084.96
76159,2024-07-01,12089.27
75158,2022-07-01,14814.85
75520,2021-12-01,10451.87
75516,2023-01-01,12288.36
75205,2022-03-01,10613.17
75677,2023-01-01,10696.51
75508,2024-04-01,11072.48
75137,2023-06-01,12666.4
75169,2024-07-01,10563.75
76306,2022-06-01,15767.27
75682,2021-09-01,9316.18
75138,2023-09-01,11439.39
75240,2021-06-01,10680.81
75020,2024-09-01,16340.93
75573,2023-01-01,12589.66
75799,2022-11-01,15095.53
76091,2024-10-01,7543.32
76223,2023-03-01,12801.15
76358,2021-11-01,14668.89
75519,2022-02-01,12246.85
76326,2021-09-01,15196.44
75131,2023-09-01,10448.13
75283,2021-12-01,16228.04
75788,2022-06-01,18896.69
75642,2024-09-01,10911.48
75616,2022-04-01,10663.49
75625,2022-07-01,16360.15
76178,2022-02-01,16738.72
75619,2023-04-01,10431.42
75202,2023-11-01,10739.44
75767,2022-02-01,11154.65
75224,2024-11-01,7966.65
75378,2022-11-01,9244.04
76204,2023-09-01,8987.58
75331,2024-01-01,9696.61
75649,2023-12-01,11895.95
76258,2021-11-01,12702.64
75090,2021-03-01,16651.5
76135,2023-12-01,9004.94
75910,2024-08-01,14952.97
75650,2024-05-01,11358.03
75802,2022-12-01,11851.61
76218,2023-09-01,14024.46
75263,2022-07-01,8631.83
75407,2024-01-01,13147.23
76098,2023-04-01,12499.36
75913,2022-02-01,13477.35
76209,2021-08-01,12867.51
75723,2023-10-01,19365.9
75181,2021-05-01,10086.78
75620,2022-07-01,10407.01
75353,2021-09-01,10130.58
75538,2021-05-01,10333.57
76074,2022-08-01,10087.84
75650,2022-04-01,15567.05
75958,2024-05-01,16261.51
75061,2023-02-01,10287.76
75491,2021-02-01,9502.93
76241,2021-12-01,13414.25
75115,2021-11-01,10343.33
75521,2024-04-01,13898.8
76172,2024-10-01,12608.77
75298,2021-11-01,7452.77
75565,2021-07-01,16642.52
75907,2023-09-01,17387.63
75420,2024-09-01,10161.63
76364,2022-01-01,10836.9
75901,2021-06-01,12857.6
75546,2024-06-01,13003.37
75181,2024-09-01,13975.63
76034,2021-04-01,18030.61
75277,2021-05-01,11469.16
76421,2021-04-01,9605.11
75538,2022-10-01,7862.04
76186,2021-09-01,9807.21
75927,2024-02-01,11900.62
75936,2024-01-01,17383.67
75493,2024-07-01,10447.17
76058,2021-09-01,12671.36
76044,2023-02-01,11950.73
75849,2023-05-01,15565.18
75123,2022-07-01,19580.8
76064,2023-12-01,10407.39
76442,2024-08-01,10531.68
75828,2021-05-01,15132.48
75876,2022-06-01,14045.67
76482,2023-01-01,17540.12
76044,2023-02-01,13751.78
76222,2023-07-01,10922.12
75388,2021-09-01,13771.96
76468,2022-01-01,15326.11
75663,2021-07-01,14461.45
75950,2021-10-01,13521.82
75531,2021-07-01,15200.02
75087,2021-07-01,15507.89
75074,2024-07-01,16146.48
75809,2024-03-01,13946.13
75921,2024-03-01,11498.65
76144,2024-08-01,12440.14
75628,2022-10-01,15619.53
76140,2023-03-01,9549.19
76392,2022-12-01,13106.02
76080,2021-02-01,10819.98
75954,2024-03-01,12086.23
76158,2023-06-01,15835.36
76033,2024-08-01,12573.3
75029,2021-10-01,12139.31
75022,2022-03-01,7920.43
75710,2024-07-01,14238.76
75788,2023-05-01,13936.45
76279,2023-04-01,18489.76
75114,2021-10-01,11076.67
76327,2023-07-01,12657.45
75242,2023-08-01,12748.15
75627,2024-02-01,16732.36
75945,2023-06-01,11714.11
76353,2024-05-01,12837.06
75457,2023-05-01,13823.69
75295,2023-04-01,12559.83
75154,2022-01-01,10660.7
75398,2022-04-01,12582.27
75156,2024-08-01,15220.9
75475,2023-02-01,8920.45
75281,2024-01-01,12398.91
76157,2023-05-01,9899.64
76430,2022-09-01,15585.14
76010,2023-01-01,7430.44
75390,2022-11-01,10323.23
76047,2021-03-01,13131.64
76157,2023-12-01,16696.57
76377,2022-04-01,11802.75
75450,2021-02-01,10334.4
